otu_id,size,kingdom,phylum,class,order,family,genus,species,taxa_labels
OTU_362,438,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,,,Phaeosphaeriaceae_sp
OTU_463,431,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,,Dominikia_sp
OTU_572,429,Fungi,,,,,,,Fungi_sp
OTU_399,428,Fungi,,,,,,,Fungi_sp
OTU_351,425,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces_tetrasporus,Lipomyces_tetrasporus
OTU_380,422,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,,Clonostachys_sp
OTU_514,418,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,,Glomus_sp
OTU_373,416,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Dothideomycetes_fam_Incertae_sedis,Pseudoarthrographis,,Pseudoarthrographis_sp
OTU_487,414,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,Alfaria_terrestris,Alfaria_terrestris
OTU_414,414,Fungi,,,,,,,Fungi_sp
OTU_668,411,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,Orbiliaceae_sp
OTU_398,408,Fungi,Chytridiomycota,,,,,,Chytridiomycota_sp
OTU_536,407,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,,Dominikia_sp
OTU_432,404,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_621,399,Fungi,,,,,,,Fungi_sp
OTU_390,398,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,,Rhizophagus_sp
OTU_366,391,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_649,391,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia_gansuensis,Dominikia_gansuensis
OTU_394,387,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Talaromyces,,Talaromyces_sp
OTU_543,386,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,,,Diversisporaceae_sp
OTU_438,384,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_388,377,Fungi,,,,,,,Fungi_sp
OTU_611,375,Fungi,,,,,,,Fungi_sp
OTU_550,373,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_601,373,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,,Claroideoglomus_sp
OTU_493,371,Fungi,,,,,,,Fungi_sp
OTU_443,366,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,,Peziza_sp
OTU_392,366,Fungi,,,,,,,Fungi_sp
OTU_524,364,Fungi,,,,,,,Fungi_sp
OTU_382,364,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_522,363,Fungi,Basidiomycota,,,,,,Basidiomycota_sp
OTU_538,358,Fungi,,,,,,,Fungi_sp
OTU_1742,358,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis_kuksensis,Pyrenochaetopsis_kuksensis
OTU_400,357,Fungi,Rozellomycota,,,,,,Rozellomycota_sp
OTU_410,357,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Dactylella_leptospora,Dactylella_leptospora
OTU_415,356,Fungi,Glomeromycota,,,,,,Glomeromycota_sp
OTU_404,355,Fungi,,,,,,,Fungi_sp
OTU_559,355,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_urmiensis,Aspergillus_urmiensis
OTU_406,352,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_567,352,Fungi,Glomeromycota,Glomeromycetes,Glomerales,,,,Glomerales_sp
OTU_396,352,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora_cassiicola,Corynespora_cassiicola
OTU_506,349,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
